cnt,type_oa,type_hal,type_wos
3180,article,COMM,
1590,preprint,COMM,
653,preprint,UNDEFINED,
557,review,ART,review
456,preprint,ART,
386,preprint,COUV,
332,article,,conference_paper
297,preprint,ART,article
291,preprint,POSTER,
262,book,OUV,
247,peer-review,,
243,other,,
222,,,article
210,article,ART,review
209,report,REPORT,
196,,REPORT,
193,article,ART,editorial
185,book-chapter,COMM,
180,review,,review
173,dissertation,THESE,
172,review,ART,article
171,,OTHER,
165,dissertation,,
161,article,,editorial
148,letter,ART,article
144,preprint,OTHER,
139,,NOTICE,
135,article,,review
131,,BLOG,
128,preprint,OUV,
117,preprint,REPORT,
114,book,,
87,letter,,article
82,article,UNDEFINED,
79,erratum,,other
78,article,POSTER,
75,,PROCEEDINGS,
68,,ISSUE,
67,editorial,ART,editorial
63,other,ISSUE,
56,review,,article
55,article,UNDEFINED,article
55,article,,other
53,editorial,,editorial
52,paratext,ISSUE,
51,article,COUV,
51,review,,
50,report,,
49,erratum,ART,other
49,book-chapter,,article
48,,HDR,
47,other,HDR,
45,preprint,,article
44,article,PROCEEDINGS,
42,,PATENT,
41,other,PROCEEDINGS,
39,,,review
34,book-chapter,PROCEEDINGS,
33,preprint,PROCEEDINGS,
31,article,COMM,article
31,letter,,editorial
30,,ART,article
29,article,COMM,conference_paper
28,preprint,THESE,
25,,TRAD,
25,,,editorial
25,article,OTHER,
25,article,ART,conference_paper
24,article,ISSUE,
21,article,POSTER,conference_paper
20,letter,ART,editorial
19,preprint,NOTICE,
18,,LECTURE,
18,other,COUV,
18,,VIDEO,
17,book-chapter,ART,
16,article,OUV,
16,preprint,LECTURE,
15,article,THESE,
15,preprint,ISSUE,
14,preprint,BLOG,
14,review,ART,
13,,SOFTWARE,
13,paratext,,
12,other,COMM,
11,article,ART,other
11,paratext,ART,
11,preprint,UNDEFINED,article
10,book,PROCEEDINGS,
10,article,REPORT,
10,dissertation,MEM,
10,article,BLOG,
9,other,SOFTWARE,
9,erratum,,
9,preprint,PATENT,
8,other,UNDEFINED,
8,letter,ART,
8,review,COMM,
7,review,ART,editorial
7,book-chapter,ART,article
7,preprint,TRAD,
7,report,UNDEFINED,
7,book-chapter,UNDEFINED,
6,preprint,VIDEO,
6,other,POSTER,
6,article,POSTER,article
6,dataset,OTHER,
6,book-chapter,NOTICE,
5,article,OTHER,article
5,retraction,,other
5,book-chapter,COMM,article
5,article,ISSUE,article
5,book-chapter,COUV,article
5,,SON,
5,other,REPORT,
5,article,COMM,other
5,article,COUV,article
4,software,,
4,article,ISSUE,editorial
4,review,COUV,
4,editorial,,article
4,editorial,ISSUE,editorial
4,preprint,MEM,
4,article,PROCEEDINGS,conference_paper
3,,,other
3,editorial,ART,
3,dataset,ART,
3,preprint,SOFTWARE,
3,review,,other
3,other,PATENT,
3,preprint,SON,
3,book,OUV,book
3,paratext,OUV,
3,paratext,OTHER,
3,erratum,,article
3,book,,book
3,book,COMM,
3,book,UNDEFINED,
3,article,OTHER,editorial
3,book-chapter,,editorial
2,review,POSTER,review
2,book-chapter,OTHER,
2,other,ART,article
2,article,VIDEO,
2,software,SOFTWARE,
2,,ART,conference_paper
2,review,,editorial
2,other,BLOG,
2,preprint,HDR,
2,review,COUV,review
2,,COMM,conference_paper
2,preprint,COMM,article
2,article,MEM,
2,article,COUV,editorial
2,preprint,ART,review
2,,IMG,
2,article,OTHER,review
2,paratext,PROCEEDINGS,
2,,ART,review
2,review,UNDEFINED,article
2,other,NOTICE,
2,book,COUV,
2,book,ISSUE,
2,book-chapter,ART,review
2,review,ART,other
1,,POSTER,conference_paper
1,preprint,COMM,conference_paper
1,preprint,,other
1,retraction,,
1,article,HDR,article
1,paratext,COMM,
1,letter,OTHER,article
1,book,TRAD,
1,preprint,OUV,article
1,book,ART,
1,,OTHER,review
1,editorial,ART,article
1,paratext,POSTER,
1,article,PROCEEDINGS,article
1,preprint,,editorial
1,preprint,PROCEEDINGS,other
1,review,,conference_paper
1,article,OUV,article
1,preprint,IMG,
1,erratum,ART,
1,preprint,POSTER,other
1,article,LECTURE,article
1,article,PROCEEDINGS,other
1,review,REPORT,
1,,ART,editorial
1,article,POSTER,other
1,other,LECTURE,
1,book,OUV,article
1,preprint,,review
1,book,NOTICE,
1,report,MEM,
1,article,ISSUE,other
1,book-chapter,POSTER,
1,book-chapter,PROCEEDINGS,article
1,review,UNDEFINED,
1,preprint,,book
1,preprint,ART,conference_paper
1,report,,article
1,editorial,OTHER,editorial
1,book-chapter,COUV,review
1,dataset,UNDEFINED,
1,article,SOFTWARE,
1,preprint,POSTER,conference_paper
1,other,ART,
1,,MAP,
1,preprint,CREPORT,
1,book,OTHER,book
